gt_type,scram_cond,stim_num,run,subject,lag,kappa
periodic,2B,1,1,0,-2,-0.09975062344139651
periodic,2B,1,1,1,-2,-0.0828729281767957
periodic,2B,1,1,2,-2,0.17877094972067042
periodic,2B,1,1,3,-2,-0.035211267605633756
periodic,2B,1,1,4,-2,-0.09174311926605494
periodic,2B,1,1,5,-2,0.1250000000000001
periodic,2B,1,1,6,-2,-0.07462686567164178
periodic,2B,1,1,7,-2,-0.08620689655172398
periodic,2B,1,1,8,-2,-0.06329113924050622
periodic,2B,1,1,9,-2,-0.04672897196261694
periodic,2B,1,1,10,-2,0.27062228654124454
periodic,2B,1,1,11,-2,0.0
periodic,2B,1,1,12,-2,0.0
periodic,2B,1,1,13,-2,-0.020242914979756943
periodic,2B,1,1,14,-2,0.07995618838992347
periodic,2B,1,1,15,-2,-0.08620689655172398
periodic,2B,1,1,16,-2,-0.04672897196261694
periodic,2B,1,1,17,-2,0.14936708860759496
periodic,2B,1,1,18,-2,0.1831442463533225
periodic,2B,1,1,19,-2,-0.07905138339920947
periodic,2B,1,1,20,-2,-0.0828729281767957
periodic,2B,1,1,21,-2,-0.07462686567164178
periodic,2B,1,1,22,-2,0.0
periodic,2B,1,1,23,-2,0.04700162074554293
periodic,2B,1,1,24,-2,0.08695652173913038
periodic,2B,1,1,25,-2,-0.035211267605633756
periodic,2B,1,1,26,-2,0.0
periodic,2B,1,1,27,-2,-0.07905138339920947
periodic,2B,1,1,28,-2,0.04700162074554293
periodic,2B,1,1,29,-2,0.36202531645569624
periodic,2B,1,1,30,-2,-0.05586592178770955
periodic,2B,1,1,31,-2,0.2149532710280373
periodic,2B,1,1,32,-2,-0.035211267605633756
periodic,2B,1,1,33,-2,-0.09406657018813314
periodic,2B,1,1,34,-2,-0.05586592178770955
periodic,2B,1,1,35,-2,-0.07905138339920947
periodic,2B,1,1,36,-2,0.10447761194029848
periodic,2B,1,1,37,-2,-0.09406657018813314
periodic,2B,1,1,38,-2,0.02749638205499283
periodic,2B,1,1,39,-2,-0.020242914979756943
periodic,2B,1,1,40,-2,-0.04672897196261694
periodic,2B,1,1,41,-2,0.2149532710280373
periodic,2B,1,1,42,-2,0.04700162074554293
periodic,2B,1,1,0,-1,-0.09846153846153838
periodic,2B,1,1,1,-1,-0.08181818181818179
periodic,2B,1,1,2,-1,-0.05517241379310356
periodic,2B,1,1,3,-1,-0.03478260869565197
periodic,2B,1,1,4,-1,-0.09056603773584904
periodic,2B,1,1,5,-1,-0.0685714285714285
periodic,2B,1,1,6,-1,-0.0736842105263158
periodic,2B,1,1,7,-1,-0.0851063829787233
periodic,2B,1,1,8,-1,0.36250000000000004
periodic,2B,1,1,9,-1,-0.04615384615384621
periodic,2B,1,1,10,-1,-0.09285714285714297
periodic,2B,1,1,11,-1,0.0
periodic,2B,1,1,12,-1,0.0
periodic,2B,1,1,13,-1,-0.020000000000000018
periodic,2B,1,1,14,-1,-0.0108108108108107
periodic,2B,1,1,15,-1,-0.0851063829787233
periodic,2B,1,1,16,-1,-0.04615384615384621
periodic,2B,1,1,17,-1,-0.0625
periodic,2B,1,1,18,-1,-0.08799999999999986
periodic,2B,1,1,19,-1,-0.07804878048780495
periodic,2B,1,1,20,-1,-0.08181818181818179
periodic,2B,1,1,21,-1,-0.0736842105263158
periodic,2B,1,1,22,-1,0.0
periodic,2B,1,1,23,-1,-0.08799999999999986
periodic,2B,1,1,24,-1,-0.07804878048780495
periodic,2B,1,1,25,-1,-0.03478260869565197
periodic,2B,1,1,26,-1,0.0
periodic,2B,1,1,27,-1,-0.07804878048780495
periodic,2B,1,1,28,-1,-0.08799999999999986
periodic,2B,1,1,29,-1,-0.0625
periodic,2B,1,1,30,-1,-0.05517241379310356
periodic,2B,1,1,31,-1,-0.04615384615384621
periodic,2B,1,1,32,-1,-0.03478260869565197
periodic,2B,1,1,33,-1,-0.09285714285714297
periodic,2B,1,1,34,-1,-0.05517241379310356
