scram_cond,stim_num,time,response
intact,2,0,0
intact,2,1,0
intact,2,2,0
intact,2,3,0
intact,2,4,0
intact,2,5,0
intact,2,6,0
intact,2,7,0
intact,2,8,0
intact,2,9,0
intact,2,10,0
intact,2,11,0
intact,2,12,0
intact,2,13,0
intact,2,14,0
intact,2,15,0
intact,2,16,1
intact,2,17,0
intact,2,18,0
intact,2,19,0
intact,2,20,0
intact,2,21,0
intact,2,22,0
intact,2,23,0
intact,2,24,0
intact,2,25,0
intact,2,26,0
intact,2,27,0
intact,2,28,0
intact,2,29,0
intact,2,30,0
intact,2,31,0
intact,2,32,1
intact,2,33,0
intact,2,34,0
intact,2,35,0
intact,2,36,0
intact,2,37,0
intact,2,38,0
intact,2,39,0
intact,2,40,0
intact,2,41,0
intact,2,42,0
intact,2,43,0
intact,2,44,0
intact,2,45,0
intact,2,46,0
intact,2,47,0
intact,2,48,1
intact,2,49,0
intact,2,50,0
intact,2,51,0
intact,2,52,0
intact,2,53,0
intact,2,54,0
intact,2,55,0
intact,2,56,0
intact,2,57,0
intact,2,58,0
intact,2,59,0
intact,2,60,0
intact,2,61,0
intact,2,62,0
intact,2,63,0
intact,2,64,1
intact,2,65,0
intact,2,66,0
intact,2,67,0
intact,2,68,0
intact,2,69,0
intact,2,70,0
intact,2,71,0
intact,2,72,0
intact,2,73,0
intact,2,74,0
intact,2,75,0
intact,2,76,0
intact,2,77,0
intact,2,78,0
intact,2,79,0
intact,2,80,1
intact,2,81,0
intact,2,82,0
intact,2,83,0
intact,2,84,0
intact,2,85,0
intact,3,0,0
intact,3,1,0
intact,3,2,0
intact,3,3,0
intact,3,4,0
intact,3,5,0
intact,3,6,0
intact,3,7,0
intact,3,8,0
intact,3,9,0
intact,3,10,0
intact,3,11,0
intact,3,12,0
intact,3,13,0
intact,3,14,0
intact,3,15,0
intact,3,16,1
intact,3,17,0
intact,3,18,0
intact,3,19,0
intact,3,20,0
intact,3,21,0
intact,3,22,0
intact,3,23,0
intact,3,24,0
intact,3,25,0
intact,3,26,0
intact,3,27,0
intact,3,28,0
intact,3,29,0
intact,3,30,0
intact,3,31,0
intact,3,32,0
intact,3,33,0
intact,3,34,1
intact,3,35,0
intact,3,36,0
intact,3,37,0
intact,3,38,0
intact,3,39,0
intact,3,40,0
intact,3,41,0
intact,3,42,0
intact,3,43,0
intact,3,44,0
intact,3,45,0
intact,3,46,0
intact,3,47,0
intact,3,48,0
intact,3,49,0
intact,3,50,1
intact,3,51,0
intact,3,52,0
intact,3,53,0
intact,3,54,0
intact,3,55,0
intact,3,56,0
intact,3,57,0
intact,3,58,0
intact,3,59,0
intact,3,60,0
intact,3,61,0
intact,3,62,0
intact,3,63,0
intact,3,64,0
intact,3,65,0
intact,3,66,1
intact,3,67,0
intact,3,68,0
intact,3,69,0
intact,3,70,0
intact,3,71,0
intact,3,72,0
intact,3,73,0
intact,3,74,0
intact,3,75,0
intact,3,76,0
intact,3,77,0
intact,3,78,0
intact,3,79,0
intact,3,80,0
intact,3,81,0
intact,3,82,1
intact,3,83,0
intact,3,84,0
intact,3,85,0
