gt_type,scram_cond,stim_num,run,lag,kappa
periodic,2B,1,1,-1,-0.09056603773584904
periodic,2B,1,1,-1,-0.0685714285714285
periodic,2B,1,1,-1,-0.0736842105263158
periodic,2B,1,1,-1,-0.0851063829787233
periodic,2B,1,1,-1,0.36250000000000004
periodic,2B,1,1,-1,-0.04615384615384621
periodic,2B,1,1,-1,-0.09285714285714297
periodic,2B,1,1,-1,0.0
periodic,2B,1,1,-1,0.0
periodic,2B,1,1,-1,-0.020000000000000018
periodic,2B,1,1,-1,-0.0108108108108107
periodic,2B,1,1,-1,-0.0851063829787233
periodic,2B,1,1,-1,-0.04615384615384621
periodic,2B,1,1,-1,-0.0625
