exp_subject_id,scram_cond,stim_num,run,response_vals
377701,1B,2,1,1186;3092;7305;11988;24718;39195;42758;45163;46141;50534;55332;65708;68508;75378
377701,1B,2,2,1119;2466;4235;4786;12240;13341;15648;17888;20091;22664;24530;28259;31200;35926;40305;43139;45379;47017;52624;53870;56630;58793;61088;63611;66368;71826;77707
377701,2B,2,1,833;9360;24652;35973;45104;54224;61236;76158
377701,2B,2,2,3190;8483;34530;44054;65199;73053
377701,intact,2,1,10152;16222;25209;36901;41167;45618;47755;52054;62700;75813
377701,intact,2,2,1108;10241;12912;25756;34952;44372;48876;70166;75501
377701,intact,1,1,1830;6560;18281;26053;34760;38215;42723;45355;52945;56636;62155;71728;75908
377701,intact,1,2,1791;6803;12680;23978;34570;38710;42359;44822;55082;57568;66280;68097;74372
377701,1B,1,1,1491;6186;12485;16893;22313;31612;33234;38443;46645;54649;62366;69633
377701,1B,1,2,1000;4811;12478;15197;20182;32752;40212;45872;54389;59318;66660;71789;75382;80160
377701,8B,3,1,1950;10604;15175;18867;28661;39176;46644;54724;57787;64202;70262
377701,8B,3,2,4603;9550;12266;18240;23685;31106;38055;45557;51223;58164;61457;65233;68510;72147
377701,8B,2,1,5236;12027;18569;23504;26326;34147;40970;43846;47573;53219;56116;65499;70192;78652
377701,8B,2,2,16300;17570;21965;26279;32336;35732;38606;45520;50152;55695;63792;73540;79626
377701,intact,3,1,13762;18211;30936;35332;40102;46532;53120;61753;66096;73901
377701,intact,3,2,5602;17109;25816;30843;38302;41375;41797;52314;60607;67772;73359;78458
377701,2B,1,1,8368;13316;37188;46526;65083;72927
377701,2B,1,2,18351;35024;46052;56979;75778
377696,8B,2,1,32814;52352;66443
377696,8B,2,2,16895;32505;58602;66512
377696,intact,3,1,18742;51027;70651
377696,intact,3,2,16610;36343;50930
377696,2B,1,1,9624;25874;29284;39624;58622;66069;73615
377696,2B,1,2,23439;31181;57402;66820;74897
377696,8B,1,1,18601;35027;43064;69784;74311;84146
377696,8B,1,2,16482;39118;47370;69715
377696,1B,3,1,8642;16937;28405;43055;47753;69927
377696,1B,3,2,6633;14916;24458;35263;66936
377696,2B,2,1,8414;15267;27307;41330;50438;58173;65850
377696,2B,2,2,7421;16381;26467;44734;60636;67319
377696,intact,1,1,17397;33479;38494;57856;67495
377696,intact,1,2,19750;35363;55862;66520
377696,1B,1,1,5216;14655;30617;38212;47043;57821;65848;76390
377696,1B,1,2,4529;14520;24786;31887;46866;66390;75479
377696,2B,3,1,5962;11504;17644;23144;38981;42040;45725;52471;62619;70602
377696,2B,3,2,5518;15924;20578;25958;38749;44880;55536;63111;72981
377696,8B,3,1,12557;18429;40127;50893;63149;73138
377696,8B,3,2,12629;18209;32717;48668;63362;73503
377696,intact,2,1,21270;50328
377696,intact,2,2,19899;50960
377696,1B,2,1,46176
377696,1B,2,2,43742;49730
377694,2B,3,1,9414;21921;36113;53140;63379
377694,2B,3,2,9447;14153;46358
377694,intact,1,1,35535;52451;67611
377694,intact,1,2,27252;35183;51785;67625
377694,1B,3,1,9663;12214;17308;23392;35285;47237;62983
377694,1B,3,2,5375;9403;32194;35798;47355;60940;79568
377694,8B,3,1,17849;49057;63230
377694,8B,3,2,21219;33145;61849
377694,1B,2,1,10715;21618;45679;70988;75950
377694,1B,2,2,10532;20505;35927;45002;61285
377694,intact,2,1,14091;27773;49935;66134
377694,intact,2,2,10144;27326;49261;66647
377694,8B,2,1,17099;38245;45273;54892;69857
377694,8B,2,2,19467;27883;37317;45174;51405
377694,2B,1,1,7749;10958;13694;18253;24228;29460;39829;57083;66434;69909
377694,2B,1,2,5695;13460;26110;29324;43740;58070
377694,intact,3,1,18704;35909;51180
377694,intact,3,2,18948;37433;51171
377694,2B,2,1,4946;22219;34350;45782;65284
377694,2B,2,2,10266;45831;65293
377694,1B,1,1,12788;18189;33657;39752;43345;58338;75801
377694,1B,1,2,18201;36757;45957;65636;75975
377694,8B,1,1,16872;35533;58757;69961
377694,8B,1,2,18446;35275;45620;48975;69224;84321
377692,2B,3,1,19875;25812;62603;81391
377692,2B,3,2,19575;26277;62452;81622
377692,intact,1,1,34082;65276
377692,intact,1,2,33613;65717;66013
377692,1B,3,1,33469;42947;81109
377692,1B,3,2,34297
377692,8B,3,1,20686;36270;61337
377692,8B,3,2,15831;33990;49176
377692,intact,2,1,12163;27963;48392
377692,intact,2,2,45559;48330
377692,1B,2,1,11519;37191;47205;66129
377692,1B,2,2,10203;36174;44823
377692,8B,2,1,17039;27190;44063;55076
377692,8B,2,2,1422;17067;28748;44375;52739
377692,intact,3,1,16096;37177;50705;65013
377692,intact,3,2,16399;37433;50785;70076
377692,2B,1,1,2579;15573;31189;56629;65544
377692,2B,1,2,2154;14929;30199;41062;56735
377692,1B,1,1,5815;16220;33971;42240;66071
377692,1B,1,2,4996;16152;42876
377692,2B,2,1,27076;45990;64548
377692,2B,2,2,27215;39444;47112;60157;66234
377692,8B,1,1,20036;35531;45926;55327;69415
377692,8B,1,2,18266;35665;43584;54044;72178
377685,2B,2,1,25964;40969;58499
377685,2B,2,2,20187;68858
377685,intact,3,1,43525;53118;78679
377685,intact,3,2,20639;36059;47807;58749;69282
377685,8B,3,1,18509;31884;73383
377685,8B,3,2,8820;47677
377685,8B,2,1,29150;71782
377685,8B,2,2,18045;47802
377685,intact,1,1,69829
377685,intact,1,2,48220;75778
377685,1B,3,1,24463;55499
377685,1B,3,2,11370;71982
377685,1B,2,1,5967;20067;42141;68597
377685,1B,2,2,24274;31780;43855;57305;68516
377685,8B,1,1,52650
377685,8B,1,2,40653;54509;66051;72351
377685,2B,1,1,21747;40089;68827
377685,2B,1,2,44045
377685,1B,1,1,4839;10718;18975;33223;40261;48522;56820;73177
377685,1B,1,2,6381;22530;31606;44284;64876
377685,2B,3,1,5259;16093;23421;31821;47561;61586
377685,2B,3,2,11224;18610;21315;32050;59121;64763;75570
377685,intact,2,1,40043;50709
377685,intact,2,2,35139;43535;52084
377678,intact,3,1,7067;17401;28404;35217;48859;61096;66342;78145
377678,intact,3,2,10649;18025;32908;36675;47350;51114;65585;72045;81241
377678,2B,1,1,3910;9268;14791;19086;24031;30140;40118;46311;52047;57769;58200;69184;75462
377678,2B,1,2,3892;9815;18657;25274;30554;40108;56459;67322;75178;79844
377678,8B,2,1,18260;28530;36673;44581;49891;66206;76812
377678,8B,2,2,16779;31367;44659;49821;67043;74262
