exp_subject_id,scram_cond,stim_num,response1_vals,response2_vals
377648,1B,3,5665;11963;62564;70925,6137;11609;25989;36203;51958;70065
377648,8B,1,19138;37451;54765;68942,19301;55097;68127
377648,1B,1,3588;6493;16113;22786;33267;43594;48518;77024,3317;6432;16033;22663;33531;41400;58564;75520
377648,2B,3,6773;11487;17162;21067;27046;38819;43883;53066;57293;63065,9331;15166;20795;26496;34764;38688;41591;45953;53798;57161;63241
377648,intact,1,34988;66942,35009;67313
377648,intact,2,11686;47322,38635;49331;66947
377648,1B,2,18739;35049;74104,45547
377648,8B,3,65974,62945
377647,1B,3,6440;21462;36258;63883,19894;32378;49440;74588
377647,intact,1,49599;76116,34795;69682
377647,2B,3,14713;20341;30680;53465;60390;64398;73819,13782;22404;26666;59320;67538
377647,intact,2,49805,11255;13091;49453
377647,8B,3,12803;13717;17174;32527;50147;63390;71768,17057;18718;32829;49465;63377;73546
377647,1B,2,13922;16127;28880;31766;46162;63357,13434;14950;29716;41257;47714;76201;77335
377647,8B,2,19473;45046;69431,24165;35033;51035;67069
377647,intact,3,17311;51176,23338;51890
377647,2B,1,30390;49989;59604;66915;69553,7095;9695;13990;16614;29861;34457;56697
377647,1B,1,7956;17945;34776;70748,14060;34488;39219;44385;67360;70458
377647,8B,1,11678;21344;44705;68877,22027;45169;68326
377647,2B,2,6666;30785;46107;50268;59508;74856,30195;46715;63849;75379
