exp_subject_id,Task_Name,space_press1,space_press2
377701,2B_3,"""times=1645559446195;1645559457052;1645559465281;1645559472063;1645559478848;1645559481398;1645559486486;1645559492341;1645559496600;1645559501662;1645559506704;1645559509757;1645559513939;1645559522167;1645559526190---values=;10842;19071;25853;32638;35188;40276;46130;50390;55452;60494;63546;67729;75957;79980""","""times=1645559446195;1645559532453;1645559538458;1645559544002;1645559545315;1645559549582;1645559551604;1645559560125;1645559565150;1645559571534;1645559575817;1645559578807;1645559581969;1645559584373;1645559592594;1645559600191;1645559600550;1645559605414;1645559607624;1645559612412---values=;1349;7354;12898;14211;18478;20500;29021;34046;40430;44713;47703;50865;53269;61490;69087;69446;74310;76520;81308"""
377701,1B_3,"""times=1645559271995;1645559277958;1645559282399;1645559284467;1645559289388;1645559296854;1645559299608;1645559306391;1645559312270;1645559318250;1645559325011;1645559328682;1645559332265;1645559338883;1645559344829;1645559348342---values=;5961;10402;12469;17391;24856;27611;34394;40273;46253;53014;56685;60268;66886;72832;76345""","""times=1645559271995;1645559358014;1645559362035;1645559367134;1645559372923;1645559376316;1645559382888;1645559388106;1645559391973;1645559395033;1645559396877;1645559401655;1645559406174;1645559417957;1645559427886;1645559436346---values=;1104;5125;10224;16013;19406;25978;31196;35063;38123;39967;44745;49264;61047;70976;79436"""
377701,8B_1,"""times=1645559092598;1645559094109;1645559099634;1645559111448;1645559119475;1645559125691;1645559129823;1645559144251;1645559151828;1645559155259;1645559158015;1645559162074;1645559166414;1645559174025---values=;1497;7022;18836;26863;33078;37211;51639;59216;62647;65403;69462;73801;81413""","""times=1645559092599;1645559181998;1645559182843;1645559186249;1645559191204;1645559193090;1645559204500;1645559213660;1645559216985;1645559225152;1645559234162;1645559240528;1645559246812;1645559248688;1645559251850;1645559263403---values=;1508;2353;5759;10714;12600;24010;33170;36495;44662;53672;60038;66322;68198;71360;82913"""
377701,1B_2,"""times=1645558900435;1645558901628;1645558903534;1645558907747;1645558912430;1645558925160;1645558939637;1645558943200;1645558945605;1645558946583;1645558950976;1645558955774;1645558966150;1645558968950;1645558975820---values=;1186;3092;7305;11988;24718;39195;42758;45163;46141;50534;55332;65708;68508;75378""","""times=1645558900436;1645558984951;1645558986298;1645558988067;1645558988619;1645558996072;1645558997173;1645558999480;1645559001720;1645559003923;1645559006496;1645559008362;1645559012091;1645559015032;1645559019758;1645559024137;1645559026971;1645559029211;1645559030850;1645559036456;1645559037702;1645559040462;1645559042625;1645559044920;1645559047443;1645559050200;1645559055658;1645559061539---values=;1119;2466;4235;4786;12240;13341;15648;17888;20091;22664;24530;28259;31200;35926;40305;43139;45379;47017;52624;53870;56630;58793;61088;63611;66368;71826;77707"""
377701,2B_2,"""times=1645558728370;1645558729224;1645558737751;1645558753043;1645558764364;1645558773495;1645558782615;1645558789627;1645558804549---values=;833;9360;24652;35973;45104;54224;61236;76158""","""times=1645558728370;1645558814996;1645558820289;1645558846336;1645558855860;1645558877005;1645558884859---values=;3190;8483;34530;44054;65199;73053"""
377701,intact_2,"""times=1645558558387;1645558568545;1645558574615;1645558583602;1645558595294;1645558599560;1645558604011;1645558606149;1645558610447;1645558621093;1645558634206---values=;10152;16222;25209;36901;41167;45618;47755;52054;62700;75813""","""times=1645558558387;1645558642899;1645558652033;1645558654703;1645558667547;1645558676743;1645558686163;1645558690667;1645558711957;1645558717292---values=;1108;10241;12912;25756;34952;44372;48876;70166;75501"""
377701,intact_1,"""times=1645558345943;1645558347782;1645558352512;1645558364233;1645558372005;1645558380712;1645558384167;1645558388675;1645558391307;1645558398897;1645558402588;1645558408107;1645558417680;1645558421861---values=;1830;6560;18281;26053;34760;38215;42723;45355;52945;56636;62155;71728;75908""","""times=1645558345943;1645558429621;1645558434633;1645558440510;1645558451808;1645558462400;1645558466540;1645558470189;1645558472652;1645558482912;1645558485398;1645558494110;1645558495927;1645558502202---values=;1791;6803;12680;23978;34570;38710;42359;44822;55082;57568;66280;68097;74372"""
377701,1B_1,"""times=1645558169992;1645558171497;1645558176192;1645558182491;1645558186899;1645558192319;1645558201618;1645558203240;1645558208449;1645558216651;1645558224655;1645558232372;1645558239639---values=;1491;6186;12485;16893;22313;31612;33234;38443;46645;54649;62366;69633""","""times=1645558169992;1645558254393;1645558258204;1645558265871;1645558268590;1645558273575;1645558286145;1645558293605;1645558299265;1645558307782;1645558312711;1645558320053;1645558325182;1645558328775;1645558333553---values=;1000;4811;12478;15197;20182;32752;40212;45872;54389;59318;66660;71789;75382;80160"""
377701,8B_3,"""times=1645558003492;1645558005445;1645558014100;1645558018670;1645558022362;1645558032156;1645558042671;1645558050139;1645558058219;1645558061282;1645558067697;1645558073757---values=;1950;10604;15175;18867;28661;39176;46644;54724;57787;64202;70262""","""times=1645558003492;1645558088542;1645558093490;1645558096205;1645558102179;1645558107624;1645558115045;1645558121994;1645558129496;1645558135162;1645558142103;1645558145396;1645558149172;1645558152449;1645558156086---values=;4603;9550;12266;18240;23685;31106;38055;45557;51223;58164;61457;65233;68510;72147"""
377701,8B_2,"""times=1645557803923;1645557809162;1645557815953;1645557822495;1645557827430;1645557830252;1645557838073;1645557844896;1645557847773;1645557851499;1645557857145;1645557860042;1645557869425;1645557874118;1645557882578---values=;5236;12027;18569;23504;26326;34147;40970;43846;47573;53219;56116;65499;70192;78652""","""times=1645557803923;1645557903616;1645557904886;1645557909281;1645557913595;1645557919652;1645557923048;1645557925922;1645557932836;1645557937468;1645557943011;1645557951108;1645557960856;1645557966942---values=;16300;17570;21965;26279;32336;35732;38606;45520;50152;55695;63792;73540;79626"""
